No,ID,ASAS_ID_V,ASAS_ID_I,2MASS_ID,RAd,DEC,V,I,V-I,J,J-H,H-K,Type,Period,V_amp,I_amp
95,190254+4139.5,190254+4139.5,190254+4139.5,19025396+4139313,285.72487,41.6587,12.787,11.465,1.322,10.614,0.584,0.184,QPER/CEP,16.51,0.26,0.2
96,190255+3950.5,190255+3950.5,190254+3950.5,19025460+3950286,285.72753,39.84128,12.377,11.691,0.686,11.419,0.206,0.075,EA/EB,0.96128,0.45,0.43
97,190330+3854.2,190330+3854.2,190330+3854.2,19032972+3854139,285.87387,38.90388,12.076,11.487,0.589,11.016,0.239,0.049,PER/EW,0.380295,0.12,0.07
98,190333+3941.0,190333+3941.0,190333+3941.0,19033272+3941003,285.88636,39.68343,10.806,10.582,0.224,10.577,0.054,0.041,EA,2.1893,0.1,0.7
99,190333+3829.2,190333+3829.2,190333+3829.2,19033327+3829126,285.88864,38.48686,13.359,11.99,1.369,11.017,0.615,0.146,PER,2.8772,0.2,0.14
100,190336+4336.2,190336+4336.2,190336+4336.2,19033572+4336124,285.89887,43.60345,13.933,13.11,0.823,12.844,0.365,0.092,EW,0.303654,0.44,0.59
101,190343+4301.3,190343+4301.3,190343+4301.3,19034298+4301169,285.9291,43.02137,10.76,8.789,1.971,7.51,0.852,0.214,PER,21.46,0.06,0.02
102,190344+3854.5,190344+3854.5,noID,19034374+3854247,285.93228,38.90688,10.947,99.999,99.999,99.999,99.999,0.298,QPER,56.2,0.41,99.99
103,190350+4601.7,190350+4601.7,190350+4601.8,19035052+4601441,285.9605,46.02892,13.516,13.103,0.413,12.635,0.201,0.022,RRC,0.365854,0.85,0.39
104,190402+4603.0,190402+4603.0,190402+4602.9,19040140+4602561,286.00586,46.04892,14.104,13.589,0.515,13.12,0.172,0.1,EW/RRC,0.71889,0.43,0.4
105,190406+4040.4,190406+4040.4,190406+4040.4,19040614+4040240,286.02562,40.67335,10.984,9.8,1.184,9.01,0.549,0.123,PER/EW,0.55402,0.07,0.05
106,190409+4240.1,190409+4240.1,190408+4240.2,19040862+4240045,286.03595,42.66793,13.931,13.061,0.87,12.996,0.299,0.105,EW,0.55906,0.78,0.49
107,190411+3746.1,190411+3746.1,190411+3746.2,19041102+3746108,286.04593,37.76968,12.269,10.391,1.878,9.169,0.831,0.202,QPER/CEP,59,0.3,0.24
108,190414+4557.0,190414+4557.0,190413+4557.0,BLEND,286.0562,45.95,11.261,10.8,0.461,99.999,99.999,99.999,EW,0.89291,0.22,0.21
109,190425+3829.7,190425+3829.7,190425+3829.7,19042497+3829418,286.10405,38.49496,13.947,10.905,3.042,9.209,0.904,0.288,APER,N/A,0.85,0.31
110,190445+3927.3,190445+3927.3,190444+3927.3,19044440+3927184,286.18503,39.45513,12.977,11.181,1.796,10.118,0.819,0.233,QPER,52.5,0.54,0.22
111,190449+4452.3,190449+4452.3,190449+4452.3,19044924+4452178,286.20517,44.87161,12.301,9.289,3.012,7.547,0.889,0.287,QPER/CEP,24.27,0.24,0.1
112,190457+4249.1,190457+4249.1,190457+4249.1,19045693+4249066,286.23722,42.81851,11.574,8.222,3.352,6.347,0.901,0.334,QPER,103.5,0.64,0.27
113,190508+4653.7,190508+4653.7,noID,19050817+4653396,286.28406,46.89436,9.033,99.999,99.999,5.801,99.999,99.999,QPER,119.9,0.19,99.99
114,190522+3734.8,190522+3734.8,190522+3734.7,19052243+3734453,286.34347,37.57928,12.225,7.921,4.304,99.999,99.999,99.999,APER,N/A,0.98,0.65
115,190522+4328.0,190522+4328.0,190522+4328.1,19052248+4328030,286.34371,43.46751,12.687,11.716,0.971,11,0.498,0.119,QPER/CEP,10.817,0.43,0.29
116,190523+3730.2,190523+3730.2,190523+3730.1,19052277+3730065,286.34488,37.50182,13.757,13.097,0.66,12.417,0.278,0.044,EW/RRC,0.495213,0.53,0.32
117,190534+3920.1,190534+3920.1,190534+3920.1,19053381+3920038,286.3909,39.3344,12.547,11.909,0.638,11.185,0.453,0.123,EA/EW/CEP,11.262,0.16,0.28
118,190552+4709.0,190552+4709.0,190552+4709.0,19055212+4708588,286.46717,47.14967,11.094,8.709,2.385,7.279,0.793,0.246,APER,N/A,0.1,0.05
119,190600+4307.8,190600+4307.8,190600+4307.9,19055994+4307498,286.49978,43.1305,12.665,11.937,0.728,11.308,0.237,0.081,EW,0.423924,0.6,0.5
120,190618+4644.9,190618+4644.9,190619+4645.0,19061831+4644590,286.57633,46.74974,13.051,10.335,2.716,8.376,0.854,0.322,QPER,214,0.9,0.74
121,190622+4338.2,190622+4338.2,190622+4338.2,19062202+4338096,286.59175,43.63601,13.794,12.813,0.981,12.243,0.355,0.064,EW,0.374351,0.88,0.87
122,190627+4811.5,190627+4811.5,190627+4811.6,19062705+4811320,286.61273,48.19223,12.584,11.404,1.18,10.656,0.568,0.155,QPER,46.2,0.39,0.22
123,190634+4327.6,190634+4327.6,190635+4327.6,19063440+4327352,286.64334,43.45979,12.028,11.408,0.62,11.005,0.147,0.063,PER,0.267626,0.04,0.04
124,190640+3742.2,noID,190640+3742.2,19064020+3742173,286.66754,37.70482,99.999,12.033,99.999,10.131,0.98,0.315,APER,N/A,99.99,0.39
125,190643+4639.6,190643+4639.6,190643+4639.6,19064309+4639380,286.67956,46.66056,10.674,7.982,2.692,6.394,0.869,0.28,APER,N/A,0.44,0.2
126,190650+4519.9,190650+4519.9,190651+4519.9,19065041+4519557,286.71008,45.33216,11.083,8.699,2.384,7.242,0.855,0.267,QPER,21.05,0.15,0.09
127,190651+4720.3,190651+4720.3,190651+4720.3,19065081+4720179,286.71171,47.33831,12.477,9.744,2.733,8.181,0.864,0.309,QPER,25.79,0.26,0.12
128,190655+3756.7,190655+3756.7,190656+3756.7,19065536+3756395,286.73067,37.94431,13.552,12.352,1.2,11.561,0.523,0.153,PER,1.8075,0.15,0.15
129,190700+4632.3,190700+4632.3,190700+4632.3,19065978+4632203,286.74911,46.53899,9.544,9.084,0.46,8.731,0.094,0.05,EW/PER,0.2728,0.1,0.05
130,190703+4933.4,190703+4933.4,190703+4933.5,19070311+4933265,286.76297,49.55736,13.031,9.328,3.703,7.346,0.907,0.369,QPER,102.7,0.62,0.29
131,190713+4454.5,190713+4454.5,190712+4454.4,19071237+4454257,286.80158,44.90716,12.712,9.414,3.298,7.577,0.895,0.335,QPER,46.97,0.55,0.21
132,190716+4401.1,190716+4401.1,190716+4401.1,19071629+4401077,286.81788,44.01882,12.843,12.578,0.265,15.865,99.999,99.999,APER,N/A,1.88,0.52
133,190717+4128.4,190717+4128.4,190717+4128.5,19071724+4128270,286.82187,41.47419,13.075,11.038,2.037,9.812,0.863,0.228,QPER,52.8,0.79,0.28
134,190720+3810.6,190720+3810.6,190720+3810.6,19071971+3810368,286.83214,38.17691,13.563,9.67,3.893,7.124,0.91,0.361,APER,N/A,0.69,0.71
135,190730+4821.8,190730+4821.8,190730+4821.7,19073029+4821433,286.87622,48.36203,12.765,9.115,3.65,7.032,0.88,0.346,QPER,30.97,0.47,0.19
136,190731+3853.6,190731+3853.6,190731+3853.6,BLEND,286.8792,38.8933,13.701,12.951,0.75,99.999,99.999,99.999,EW,0.396199,0.36,0.45
137,190734+4316.6,190734+4316.6,190734+4316.7,19073392+4316375,286.89135,43.27708,11.847,8.533,3.314,6.65,0.852,0.303,QPER,137.5,0.92,0.29
138,190749+4217.9,190749+4217.9,190748+4217.9,19074837+4217546,286.95156,42.29853,13.086,12.475,0.611,12.513,0.247,0.042,RRAB,0.58782,0.75,0.32
139,190751+4629.2,190751+4629.2,190751+4629.2,19075070+4629119,286.96127,46.48666,12.61,12.165,0.445,11.895,0.14,0.033,PER,0.1283712,0.07,0.04
140,190756+4953.0,190756+4953.0,190756+4953.0,19075572+4953018,286.98221,49.88383,12.806,11.89,0.916,11.289,0.4,0.077,PER/EW,0.1369313,0.1,0.1
141,190757+4733.4,190757+4733.4,190757+4733.3,19075677+4733203,286.98657,47.55565,14.746,10.164,4.582,7.523,0.866,0.399,QPER,108.3,1.18,0.39
142,190757+4635.1,190757+4635.1,190757+4635.2,19075706+4635088,286.98779,46.58579,10.85,8.355,2.495,6.707,0.851,0.289,APER,N/A,0.71,0.63
143,190816+4957.3,190816+4957.3,190816+4957.2,19081593+4957154,287.06642,49.9543,12.487,12.129,0.358,11.868,0.138,-0.01,HADS,0.0611817,0.2,0.16
144,190819+4712.8,190819+4712.8,190819+4712.8,19081880+4712481,287.07837,47.21338,12.136,11.148,0.988,10.532,0.481,0.118,CEP/PER,4.8685,0.16,0.23
145,190820+4002.8,190820+4002.8,190819+4002.7,19081940+4002467,287.08086,40.04633,12.405,11.46,0.945,10.79,0.284,0.06,EW,0.395106,0.14,0.16
146,190821+3915.4,190821+3915.4,190821+3915.4,19082129+3915255,287.08873,39.25708,13.081,9.252,3.829,6.974,0.893,0.394,APER,N/A,0.62,0.21
147,190827+4622.9,190827+4622.9,190827+4622.8,19082694+4622507,287.11227,46.38076,14.4,13.183,1.217,12.178,0.47,0.104,EW,0.344552,0.64,0.42
148,190827+3848.8,190827+3848.8,190828+3848.7,19082722+3848462,287.11345,38.81284,12.373,11.673,0.7,11.632,0.198,0.058,RRAB,0.68203,0.66,0.44
149,190830+4336.0,190830+4336.0,190830+4336.1,BLEND,287.125,43.6008,11.563,10.396,1.167,99.999,99.999,99.999,EW,0.392699,0.28,0.16
150,190833+4208.7,190833+4208.7,190833+4208.7,19083295+4208400,287.1373,42.14447,13.599,13.149,0.45,12.692,0.175,0.055,EW,0.52503,0.44,0.46
151,190835+4400.8,190835+4400.8,190835+4400.8,19083484+4400464,287.14519,44.01291,12.361,7.903,4.458,5.274,1.12,0.373,QPER,89.8,0.84,0.46
152,190838+4240.2,190838+4240.2,190838+4240.2,19083823+4240084,287.1593,42.66902,14.07,10.73,3.34,8.952,0.876,0.276,APER,N/A,1.58,0.49
153,190852+3756.1,190852+3756.1,190851+3756.1,19085159+3756081,287.21499,37.9356,13.002,11.158,1.844,9.874,0.837,0.194,APER,N/A,0.37,0.24
154,190858+4741.1,190858+4741.1,190858+4741.1,19085804+4741087,287.24187,47.68576,10.872,9.887,0.985,9.275,0.405,0.107,PER/EW,0.54427,0.05,0.02
155,190907+4417.7,190907+4417.7,190907+4417.7,19090650+4417448,287.27711,44.29579,10.749,8.767,1.982,7.436,0.828,0.213,QPER,16.14,0.16,0.43
156,190922+4128.7,190922+4128.7,190922+4128.7,19092162+4128442,287.3401,41.47895,11.294,8.909,2.385,7.473,0.909,0.25,QPER,34.73,0.17,0.13
157,190922+3819.5,190922+3819.5,190922+3819.5,19092181+3819324,287.34088,38.32568,11.85,11.203,0.647,11.431,0.207,0.051,EW,0.473834,0.34,0.31
158,190932+4220.3,190932+4220.3,190932+4220.3,19093201+4220180,287.38342,42.33836,13.17,9.849,3.321,8.041,0.962,0.3,QPER,71.1,0.6,0.15
159,190934+4305.9,190934+4305.9,190934+4305.9,19093391+4305554,287.39133,43.09874,12.363,11.926,0.437,11.59,0.113,0.052,EA,0.57253,0.29,0.34
160,190946+4336.9,190946+4336.9,190945+4336.9,19094543+4336532,287.43932,43.6148,13.235,8.93,4.305,6.845,0.816,0.429,MIRA,283,5.08,2.93
161,190945+3933.1,190945+3933.1,190945+3933.1,19094547+3933052,287.43948,39.55147,11.246,10.682,0.564,10.422,0.2,0.054,EW/RRC,0.73596,0.15,0.18
162,191004+4040.2,191004+4040.2,191003+4040.2,BLEND,287.5146,40.67,12.287,9.881,2.406,99.999,99.999,99.999,QPER,116,0.47,0.21
